date, pm25, pm10, o3, no2, so2, co
2023-07-18,57,22,24,16,7,3
2023-07-19,48,41,45,16,3,3
2023-07-20,79,40,32,14,5,3
2023-07-21,77,29,30,11,4,3
2023-07-22,61,24,17,9,4,2
2023-07-23,55,20,21,8,2,2
2023-07-24,44,20,27,9,2,2
2023-07-25,46,28,33,10,4,3
2023-07-26,60,30,54,11,4,3
2023-07-27,70,48,59,14,9,4
2023-07-28,102,50,68,18,7,5
2023-07-29,109,35,56,11,6,4
2023-07-30,82,34,47,11,6,3
2023-07-31,90,39,30,17,8,3
2023-08-01,72,26,47,11,4,2
2023-08-02,64,31,53,12,4,2
2023-08-03,72,28,50,12,4,3
2023-08-04,58,28,44,13,10,4
2023-08-05,66,28,34,15,6,4
2023-08-06,59,42,22,21,13,16
2023-08-07,61,39,23,21,10,6
2023-08-08,51,40,21,25,10,22
2023-08-09,61,29,33,13,5,8
2023-08-10,54,31,51,12,3,4
2023-08-11,58,40,53,13,5,5
2023-08-12,74,38,38,14,6,8
2023-08-13,67,37,35,18,8,6
2023-08-14,66,46,21,19,10,18
2023-08-15,77,31,23,14,6,7
2023-08-16,54,23,18,11,3,3
2023-08-17,39,17,17,13,3,4
2023-08-18,30,34,28,13,4,3
2023-08-19,72,26,27,12,4,4
2023-08-20,61,40,50,15,6,3
2023-08-21,81,38,38,13,4,3
2023-08-22,82,38,58,14,5,4
2023-08-23,76,21,50,22,3,7
2023-08-24,51,19,44,15,1,4
2023-08-25,46,30,61,11,4,6
2023-08-26,62,32,43,9,4,8
2023-08-27,59,39,37,22,6,10
2023-08-28,66,30,18,11,5,5
2023-08-29,53,25,13,11,4,2
2023-08-30,54,21,32,9,3,4
2023-08-31,37,24,38,10,3,5
2023-09-01,36,26,38,13,2,4
2023-09-02,51,23,37,8,3,4
2023-09-03,49,32,28,16,6,8
2023-09-04,56,37,30,17,7,10
2023-09-05,57,38,37,20,7,11
2023-09-06,52,42,34,21,9,9
2023-09-07,48,26,35,12,4,3
2023-09-08,52,22,40,10,3,3
2023-09-09,40,19,36,10,3,4
2023-09-10,42,25,35,14,6,4
2023-09-11,49,35,46,14,4,4
2023-09-12,71,38,42,18,5,6
2023-09-13,76,25,39,27,5,14
2023-09-14,63,22,32,25,4,14
2023-09-15,57,31,16,13,2,6
2023-09-16,65,21,26,9,2,4
2023-09-17,46,30,50,12,3,3
2023-09-18,52,28,42,11,2,4
2023-09-19,60,51,45,19,4,6
2023-09-20,96,34,42,20,8,11
2023-09-21,62,26,37,13,3,4
2023-09-22,51,24,39,12,2,4
