date, pm25, pm10, o3, no2, so2, co
2023/7/1, 76, 29, 55, 18, 3, 5
2023/7/2, 75, 30, 76, 25, 5, 5
2023/7/3, 67, 15, 33, 23, 2, 4
2023/7/4, 42, 18, 52, 16, 3, 4
2023/7/5, 43, 38, 76, 31, 4, 5
2023/7/6, 78, 31, 39, 31, 2, 4
2023/7/7, 66, 15, 32, 25, 3, 4
2023/7/8, 44, 24, 36, 17, 3, 4
2023/7/9, 59, 31, 48, 19, 4, 3
2023/7/10, 75, 21, 34, 20, 4, 2
2023/7/11, 51, 17, 34, 23, 4, 2
2023/7/12, 41, 23, 22, 22, 3, 4
2023/7/13, 47, 17, 23, 10, 3, 3
2023/7/14, 27, 15, 28, 10, 3, 3
2023/7/15, 23, 9, 29, 16, 5, 3
2023/7/16, 21, 14, 26, 20, 3, 3
2023/7/17, 34, 14, 23, 22, 2, 3
2023/7/18, 30, 16, 18, 24, 3, 4
2023/7/19, 40, 34, 59, 35, 5, 3
2023/7/20, 77, 36, 61, 35, 5, 3
2023/7/21, 80, 19, 29, 22, 4, 3
2023/7/22, 48, 17, 35, 17, 1, 2
2023/7/23, 44, 13, 26, 17, 2, 3
2023/7/24, 31, 11, 18, 25, 1, 4
2023/7/25, 35, 25, 23, 24, 4, 3
2023/7/26, 68, 35, 52, 23, 4, 4
2023/7/27, 85, 38, 46, 29, 6, 4
2023/7/28, 92, 40, 57, 28, 5, 5
2023/7/29, 99, 27, 44, 19, 3, 4
2023/7/30, 75, 27, 46, 22, 6, 4
2023/7/31, 68, 17, 29, 22, 2, 5
2023/8/1, 38, 25, 54, 19, 3, 4
2023/8/2, 60, 24, 41, 23, 3, 2
2023/8/3, 59, 22, 36, 19, 4, 2
2023/8/4, 55, 22, 60, 19, 3, 3
2023/8/5, 53, 11, 33, 14, 4, 2
2023/8/6, 30, 16, 28, 13, 3, 3
2023/8/7, 44, 15, 23, 14, 3, 4
2023/8/8, 41, 15, 19, 14, 4, 4
2023/8/9, 39, 9, 31, 11, 2, 5
2023/8/10, 19, 18, 38, 19, 2, 5
2023/8/11, 43, 28, 52, 21, 1, 4
2023/8/12, 63, 26, 65, 15, 3, 3
2023/8/13, 65, 23, 37, 19, 2, 4
2023/8/14, 60, 19, 35, 15, 2, 3
2023/8/15, 50, 25, 24, 22, 3, 3
2023/8/16, 56, 24, 30, 19, 3, 3
2023/8/17, 62, 18, 30, 22, 2, 3
2023/8/18, 51, 19, 24, 20, 2, 4
2023/8/19, 53, 20, 38, 15, 3, 5
2023/8/20, 58, 25, 28, 22, 3, 4
2023/8/21, 67, 33, 19, 20, 4, 6
2023/8/22, 84, 30, 19, 16, 5, 5
2023/8/23, 85, 13, 40, 14, 3, 4
2023/8/24, 26, 22, 57, 24, 4, 5
2023/8/25, 54, 30, 78, 19, 2, 5
2023/8/26, 69, 24, 42, 13, 3, 5
2023/8/27, 64, 19, 31, 18, 2, 4
2023/8/28, 53, 20, 17, 16, 3, 4
2023/8/29, 44, 21, 15, 16, 3, 3
2023/8/30, 49, 22, 33, 19, 3, 4
2023/8/31, 50, 12, 13, 18, 3, 3
2023/9/1, 33, 13, 18, 16, 1, 3
2023/9/2, 31, 19, 20, 12, 2, 4
2023/9/3, 45, 20, 19, 16, 2, 4
2023/9/4, 59, 18, 31, 15, 3, 4
2023/9/5, 49, 18, 34, 10, 1, 4
2023/9/6, 48, 21, 38, 12, 1, 4
2023/9/7, 52, 18, 42, 18, 2, 4
2023/9/8, 42, 17, 52, 15, 1, 3
2023/9/9, 42, 17, 49, 14, 2, 3
2023/9/10, 41, 21, 54, 22, 2, 4
2023/9/11, 58, 25, 47, 24, 2, 5
2023/9/12, 63, 25, 42, 26, 3, 5
2023/9/13, 65, 17, 33, 23, 3, 4
2023/9/14, 45, 19, 34, 12, 3, 4
2023/9/15, 52, 17, 16, 24, 4, 5
2023/9/16, 43, 9, 24, 14, 3, 3
2023/9/17, 19, 18, 33, 20, 5, 3
2023/9/18, 35, 24, 49, 24, 2, 3
2023/9/19, 57, 36, 52, 33, 4, 4
2023/9/20, 86, 16, 43, 19, 1, 3
2023/9/21, 35, 20, 37, 18, 3, 3
2023/9/22, 43, 17, 34, 15, 3, 3
2023/9/23, 40, 16, 37, 8, 1, 3
2023/9/24, 33, 20, 36, 17, 3, 3
2023/9/25, 41, 27, 19, 36, 4, 4
2023/9/26, 63, 20, 37, 30, 5, 4
2023/9/27, 57, 14, 36, 12, 3, 4
2023/9/28, 41, 33, 57, 13, 3, 5
2023/9/29, 80, 23, 36, 14, 3, 4
2023/9/30, 59, 23, 39, 10, 3, 4
2023/4/1, 95, 39, 62, 13, 5, 3
2023/4/2, 77, 27, 53, 18, 3, 3
2023/4/3, 53, 27, 45, 27, 3, 3
2023/4/4, 50, 18, 40, 14, 3, 2
2023/4/5, 37, 22, 42, 12, 2, 4
2023/4/6, 62, 40, 51, 12, 3, 4
2023/4/7, 84, 29, 42, 7, 2, 3
2023/4/8, 31, 42, 44, 14, 5, 2
2023/4/9, 33, 41, 46, 24, 6, 3
2023/4/10, 43, 25, 41, 11, 2, 3
2023/4/11, 38, 155, 42, 18, 3, 2
2023/4/12, 100, 81, 36, 30, 3, 3
2023/4/13, 72, 52, 38, 50, 4, 3
2023/4/14, 68, 22, 36, 16, 3, 3
2023/4/15, 46, 52, 44, 19, 2, 4
2023/4/16, 66, 68, 49, 33, 4, 3
2023/4/17, 81, 59, 39, 35, 4, 4
2023/4/18, 72, 46, 34, 41, 4, 5
2023/4/19, 85, 45, 49, 36, 3, 4
2023/4/20, 84, 120, 44, 28, 4, 5
2023/4/21, 90, 150, 43, 11, 3, 4
2023/4/22, 112, 56, 49, 11, 3, 4
2023/4/23, 57, 29, 43, 21, 4, 3
2023/4/24, 46, 24, 39, 23, 3, 3
2023/4/25, 53, 29, 48, 16, 3, 4
2023/4/26, 65, 33, 61, 25, 3, 4
2023/4/27, 62, 30, 52, 26, 3, 3
